Report num,use case question gen time,all ontology generation time,total time
4,5.46,119.84,125.30
5,5.91,134.89,140.80
6,5.85,135.19,141.04
7,6.65,157.42,164.07
8,6.03,157.27,163.30
9,24.41,154.39,178.81
10,7.73,194.84,202.57
